pessoa feliz?;predict_arvore;proba_arvore;predict_naive;proba_naive;predict_reg;proba_reg
1;1;0.7142857142857143;0;8.579697129590492e-18;1;0.9628695698054291
1;1;0.75;0;2.420247620022001e-19;1;0.8188081486057427
1;1;0.8571428571428571;0;3.2805976518334406e-10;1;0.9999946741020407
1;1;0.8571428571428571;0;8.082139536815717e-12;1;0.9996386038264574
1;1;1.0;1;1.0;1;0.992294358057439
1;1;1.0;0;3.7974717650084465e-17;1;0.9092594072646046
1;1;1.0;0;3.06516669565876e-19;1;0.9424596024666969
1;1;0.5714285714285714;0;7.157581636489497e-20;1;0.7704448162120894
1;1;1.0;0;1.2570383938120372e-17;1;0.8416535284966471
1;1;0.8888888888888888;0;1.8067856597370697e-17;0;0.42424103724932205
1;1;1.0;0;3.2711606419829412e-12;1;0.999701646389826
1;1;1.0;0;6.102190899156254e-37;1;0.5890549227661719
1;1;0.75;1;1.0;1;0.9953641082443274
1;1;1.0;0;7.116136131490665e-12;1;0.9784715938457724
1;1;1.0;0;3.000655193518013e-18;1;0.8763332630420042
1;1;1.0;1;1.0;1;0.9998716441166267
1;1;0.8888888888888888;0;3.919527969803513e-18;1;0.7357918412362835
0;0;0.2857142857142857;0;2.1582721511366964e-20;0;0.21096035386833012
0;0;0.2;0;1.0847836722653193e-17;1;0.9870149870566317
0;1;0.8;0;0.0;0;0.039297472146311754
1;1;1.0;0;7.551130793601744e-18;1;0.830871959354184
1;1;1.0;1;1.0;1;0.998204270918785
1;1;0.8;0;2.9939085674655073e-16;1;0.9596771167287981
0;0;0.2;0;1.1857334372838315e-17;1;0.7515093676802839
1;1;1.0;1;1.0;1;0.9920168822486612
1;1;0.6666666666666666;0;5.263977572097275e-19;1;0.6465534401311559
0;1;0.625;0;5.396326145621523e-18;1;0.790790875626642
1;1;1.0;0;1.418586154753459e-12;1;0.9970122879682619
1;1;1.0;1;1.0;1;0.9988243952439261
0;1;0.75;0;2.6508350892410065e-19;1;0.6198797502753465
1;1;1.0;0;1.8347292718319832e-20;1;0.6011067672236844
1;1;0.75;1;1.0;1;0.9963034753171603
1;1;0.7142857142857143;1;1.0;1;0.9370239806974585
0;0;0.2;0;2.1784594924285244e-24;0;0.2944888264627968
1;1;0.6;0;1.4991627633221899e-12;1;0.9856201590978142
0;1;0.625;0;2.796661557524933e-18;1;0.6244464596488438
1;1;1.0;0;2.0454017979823863e-10;1;0.9990289026082546
1;1;1.0;0;1.2954058461987031e-27;1;0.8124871656136665
1;1;0.7142857142857143;0;8.641368305553138e-17;1;0.949261849132386
1;1;0.8571428571428571;0;6.669538541481252e-06;1;0.9999620572635479
0;0;0.2;0;4.9384886361934225e-20;0;0.4922764948236374
1;1;1.0;0;1.5141701458157912e-12;1;0.9986615471133362
0;1;0.5714285714285714;0;1.413977799905219e-19;0;0.290722085594595
0;1;0.6666666666666666;0;1.0697362477648855e-18;1;0.5195825574016588
1;1;0.8;1;1.0;1;0.8937423776956037
1;1;1.0;0;2.186997539580216e-20;1;0.7930703667500498
1;1;1.0;0;8.37282310684772e-09;1;0.9996253246895662
0;1;0.8888888888888888;0;4.027251568785077e-16;1;0.7354706693529286
1;1;1.0;0;5.171547061508311e-10;1;0.9997758228774057
1;1;1.0;0;1.2570383938120372e-17;1;0.8416535284966471
0;0;0.4;0;2.3586670759565533e-28;0;0.3370668040453844
1;1;0.75;0;5.771376059050815e-20;1;0.7040367142023191
0;0;0.2857142857142857;0;3.5804244851335283e-20;1;0.5616525359476952
1;1;1.0;0;1.6228945721439496e-15;1;0.8814781887328739
1;1;1.0;1;1.0;1;0.993729880148139
1;1;1.0;0;1.475378309921778e-17;1;0.7274430418325106
1;0;0.2857142857142857;0;8.339803775841062e-20;0;0.28325238253622975
0;1;0.6;0;6.3336068962596044e-18;1;0.7058009804524966
1;1;1.0;1;1.0;1;0.9982419896708669
0;1;0.6;0;6.50055207540062e-20;0;0.4728631221300779
1;1;0.8;0;1.0324568065247283e-17;1;0.9074131182198862
1;1;0.75;1;1.0;1;0.9929606211368693
1;1;1.0;1;1.0;1;0.9999793744341404
1;1;1.0;0;1.0019140727424402e-19;1;0.6151952970747898
1;0;0.4;0;2.484552500050905e-16;1;0.9027433999235343
1;1;1.0;0;6.277340070637196e-16;1;0.9172476741020342
0;0;0.2857142857142857;0;3.868813657967529e-20;0;0.18971975404458083
1;1;1.0;0;2.2601572766959383e-20;1;0.8149775513996075
1;1;1.0;0;2.3770808165331678e-11;1;0.9999882079272499
1;1;1.0;0;4.468027954253244e-16;1;0.8788984554935774
1;1;1.0;1;1.0;1;0.9861348928244212
0;0;0.4;0;6.95678952427382e-16;1;0.7662615056050376
1;1;1.0;0;5.873386355313425e-20;1;0.5992910881770432
1;1;1.0;0;1.2426050195225696e-17;1;0.9450451177339334
0;1;0.5714285714285714;0;3.209581776020251e-50;0;0.013833769502089257
1;1;1.0;0;7.678551852143215e-19;1;0.9853349132908007
1;1;1.0;0;1.348451526262493e-19;1;0.9663612482968191
1;1;0.8888888888888888;0;1.6278807562439923e-11;1;0.9838185141314822
1;1;1.0;0;8.52199444508546e-22;1;0.6459389800219419
1;1;1.0;0;6.958668861966725e-19;1;0.9627982348623657
1;1;1.0;0;1.1322728626555534e-19;1;0.8191240107199106
1;1;1.0;0;2.4220325504478508e-18;1;0.9773440114903331
1;1;1.0;0;8.451708240106747e-20;1;0.9589864794479809
1;1;1.0;0;1.1398539216274866e-15;1;0.9372137569388108
1;1;1.0;0;7.094092752375302e-20;1;0.9856624973520309
1;1;1.0;1;1.0;1;0.999998475577883
1;1;0.625;0;4.173562704124603e-19;0;0.455413447671978
1;1;1.0;1;1.0;1;0.9996021020755154
0;1;0.7142857142857143;0;3.759247336790076e-17;1;0.8148952082072457
1;1;0.8888888888888888;0;1.2000527398454295e-11;1;0.9647009997642166
1;1;0.6;0;2.9611433091408614e-14;1;0.9859660615325649
1;1;1.0;1;1.0;1;0.9905946956563212
1;1;0.625;0;2.683279244893968e-20;1;0.8052251037261395
1;0;0.4;0;7.261440636906954e-17;1;0.8131445090560586
1;1;1.0;0;2.1063727782091264e-26;1;0.905332887508689
1;1;0.6666666666666666;0;3.4948860309620234e-17;1;0.8556140770852297
1;1;1.0;0;2.2132997647704938e-12;1;0.9992643728049476
1;1;0.8888888888888888;0;1.6794554144209723e-17;0;0.4853983872186854
1;1;0.625;0;4.405439064232948e-20;1;0.709575299602435
1;1;0.8571428571428571;0;4.434224043459805e-11;1;0.9998754346545689
1;1;1.0;1;1.0;1;0.9999370713990933
1;1;1.0;0;4.952434532419644e-19;1;0.5592197260137872
0;1;0.5714285714285714;0;1.4748493217827976e-21;0;0.4609826169396624
1;1;1.0;0;4.682697588637633e-12;1;0.9996355953116225
0;1;0.8571428571428571;0;0.0;0;0.08718605161629729
1;1;1.0;1;1.0;1;0.999642444695105
1;1;1.0;0;1.5332196726931834e-17;1;0.9274236715938442
1;1;1.0;1;1.0;1;0.9904359064941076
1;1;1.0;1;1.0;1;0.9999987558698888
1;1;1.0;0;1.3758049812883688e-09;1;0.9998912107068206
1;1;0.5714285714285714;0;3.3857907820018273e-22;1;0.5852810117710738
1;1;1.0;0;1.2877943437762957e-17;1;0.8669818662052242
0;0;0.2;0;7.585275843068024e-43;0;0.2716990257335825
1;1;1.0;0;1.4167790715913566e-15;1;0.9817906823040609
